time,velocity,gamma,altitude
1.530000000000000000e+02,1.006569823864152681e+03,4.473462784686711657e+00,7.143837392305009416e+04
1.540000000000000000e+02,1.001692081446983366e+03,4.485454974812264517e+00,7.156623676701560908e+04
1.550000000000000000e+02,9.968521727157358328e+02,4.497296508298551210e+00,7.169311734990829427e+04
1.560000000000000000e+02,9.920496783242982701e+02,4.508988285887784997e+00,7.181902153451759659e+04
1.570000000000000000e+02,9.872843217921259793e+02,4.520531135203265549e+00,7.194394356253267324e+04
1.580000000000000000e+02,9.825559695042418298e+02,4.531925810749378947e+00,7.206786605454249366e+04
1.590000000000000000e+02,9.778646307112360319e+02,4.543172993911600344e+00,7.219076001003576675e+04
1.600000000000000000e+02,9.732104575292662503e+02,4.554273292956490415e+00,7.231258480740099913e+04
1.610000000000000000e+02,9.685937449400573769e+02,4.565227243031697135e+00,7.243328820392642228e+04
1.620000000000000000e+02,9.640149307909018717e+02,4.576035306165957550e+00,7.255280633580009453e+04
1.630000000000000000e+02,9.594745957946595354e+02,4.586697871269094229e+00,7.267106371810978453e+04
1.640000000000000000e+02,9.549734635297575096e+02,4.597215254132017037e+00,7.278797324484305864e+04
1.650000000000000000e+02,9.505124004401901630e+02,4.607587697426723139e+00,7.290343618888723722e+04
1.660000000000000000e+02,9.460924158355197733e+02,4.617815370706298772e+00,7.301734220202942379e+04
1.670000000000000000e+02,9.417146618908752771e+02,4.627898370404913919e+00,7.312956931495649042e+04
1.680000000000000000e+02,9.373804336469536338e+02,4.637836719837829413e+00,7.323998393725504866e+04
1.690000000000000000e+02,9.330911690100189162e+02,4.647630369201390721e+00,7.334844085741150775e+04
1.700000000000000000e+02,9.288484487519025379e+02,4.657279195573031494e+00,7.345478324281204550e+04
1.710000000000000000e+02,9.246539965100033669e+02,4.666783002911272682e+00,7.355884263974256464e+04
1.720000000000000000e+02,9.205086590649727896e+02,4.676141793282802439e+00,7.366054768654046347e+04
1.730000000000000000e+02,9.164083497322714038e+02,4.685357297851432179e+00,7.376031174971135624e+04
1.740000000000000000e+02,9.123507326473564945e+02,4.694431340481771464e+00,7.385830634310397727e+04
1.750000000000000000e+02,9.083339629713423165e+02,4.703365610237175254e+00,7.395465130112227052e+04
1.760000000000000000e+02,9.043563005127177803e+02,4.712161733696187405e+00,7.404945899361527700e+04
1.770000000000000000e+02,9.004161097273463383e+02,4.720821274952542446e+00,7.414283432587713469e+04
1.780000000000000000e+02,8.965118597184662121e+02,4.729345735615167357e+00,7.423487473864707863e+04
1.790000000000000000e+02,8.926421242366901652e+02,4.737736554808178902e+00,7.432567020810944086e+04
1.800000000000000000e+02,8.888055816800055027e+02,4.745995109170886295e+00,7.441530324589365046e+04
1.810000000000000000e+02,8.850010150937741855e+02,4.754122712857789423e+00,7.450384889907423349e+04
1.820000000000000000e+02,8.812273121707328301e+02,4.762120617538577960e+00,7.459137475017081306e+04
1.830000000000000000e+02,8.774834652509924808e+02,4.769990012398133139e+00,7.467794091714810929e+04
1.840000000000000000e+02,8.737685713220391790e+02,4.777732024136528644e+00,7.476360005341592478e+04
1.850000000000000000e+02,8.700818320187330528e+02,4.785347716969027942e+00,7.484839734782918822e+04
1.860000000000000000e+02,8.664225536233093408e+02,4.792838092626085178e+00,7.493237052468791080e+04
1.870000000000000000e+02,8.627901470653774822e+02,4.800204090353346942e+00,7.501554984373718617e+04
1.880000000000000000e+02,8.591841279219219132e+02,4.807446586911648723e+00,7.509795810016724863e+04
1.890000000000000000e+02,8.556041164173013840e+02,4.814566396577019347e+00,7.517961062461335678e+04
1.900000000000000000e+02,8.520498374232493006e+02,4.821564271140677427e+00,7.526051528315595351e+04
1.910000000000000000e+02,8.485211204588737246e+02,4.828440899909033135e+00,7.534067247732050600e+04
