time,v, gamma, altitude, skin_temp
5.060000000000000142e+01,2.172520353882857307e+03,1.192813004678576316e+00,3.510279762785417552e+04,3.205915659490745497e+02
5.070000000000000284e+01,2.171928940914881423e+03,1.193670232864536773e+00,3.506382496727174293e+04,3.206054907715502509e+02
5.080000000000000426e+01,2.171284099211412013e+03,1.194617877113668847e+00,3.502875526330841240e+04,3.206201185262083300e+02
5.090000000000000568e+01,2.170578403749842892e+03,1.195670785933271363e+00,3.499800424548750743e+04,3.206355605011331136e+02
5.100000000000000000e+01,2.169804103320052945e+03,1.196844543879468148e+00,3.497199962386202969e+04,3.206519334464583721e+02
5.110000000000000142e+01,2.168953120524408405e+03,1.198155471557208029e+00,3.495118108901465894e+04,3.206693595743670926e+02
5.120000000000000284e+01,2.168020868403847999e+03,1.199613415691322293e+00,3.493576638602550520e+04,3.206879111722125799e+02
5.130000000000000426e+01,2.167063355956637679e+03,1.201113569112832957e+00,3.492226693685514329e+04,3.207067804848668402e+02
5.140000000000000568e+01,2.166101904876901699e+03,1.202616022549417574e+00,3.490935193082765909e+04,3.207256603099235690e+02
5.150000000000000000e+01,2.165136731774067812e+03,1.204120639394523851e+00,3.489698934139669291e+04,3.207445492538975031e+02
5.160000000000000142e+01,2.164168045150857779e+03,1.205627286105105167e+00,3.488514857982099784e+04,3.207634459551300097e+02
5.170000000000000284e+01,2.163196045403289190e+03,1.207135832201619907e+00,3.487380049516447616e+04,3.207823490837893132e+02
5.180000000000000426e+01,2.162220924820675464e+03,1.208646150268031239e+00,3.486291737429615023e+04,3.208012573418704392e+02
5.190000000000000568e+01,2.161242867585624026e+03,1.210158115951808444e+00,3.485247294189019885e+04,3.208201694631951568e+02
5.200000000000000000e+01,2.160262049774038132e+03,1.211671607963925146e+00,3.484244236042589182e+04,3.208390842134119225e+02
5.210000000000000142e+01,2.159278639355117321e+03,1.213186508078860637e+00,3.483280223018767720e+04,3.208580003899961071e+02
5.220000000000000284e+01,2.158292796191354228e+03,1.214702701134599661e+00,3.482353058926510857e+04,3.208769168222497115e+02
5.230000000000000426e+01,2.157304672038538229e+03,1.216220075032631742e+00,3.481460691355288145e+04,3.208958323713017080e+02
5.240000000000000568e+01,2.156314410545754072e+03,1.217738520737951857e+00,3.480601211675081868e+04,3.209147459301075855e+02
5.250000000000000000e+01,2.155322147255380969e+03,1.219257932279059986e+00,3.479772855036388501e+04,3.209336564234498610e+02
5.260000000000000142e+01,2.154328009603093506e+03,1.220778206747961780e+00,3.478974000370217254e+04,3.209525628079376247e+02
5.270000000000000284e+01,2.153332116917862095e+03,1.222299244300167675e+00,3.478203170388090075e+04,3.209714640720068815e+02
5.280000000000000426e+01,2.152334580421951614e+03,1.223820948154693777e+00,3.477459031582043826e+04,3.209903592359203230e+02
5.290000000000000568e+01,2.151335503230922768e+03,1.225343224594060754e+00,3.476740394224626652e+04,3.210092473517674421e+02
5.300000000000000000e+01,2.150334980353631636e+03,1.226865982964295165e+00,3.476046212368901615e+04,3.210281275034644750e+02
5.310000000000000142e+01,2.149333098692228305e+03,1.228389135674928578e+00,3.475375583848443785e+04,3.210469988067545160e+02
5.320000000000000284e+01,2.148329937042160054e+03,1.229912598198997786e+00,3.474727750277343148e+04,3.210658604092073460e+02
5.330000000000000426e+01,2.147325566092168174e+03,1.231436289073044588e+00,3.474102097050201701e+04,3.210847114902195472e+02
5.340000000000000568e+01,2.146320048424288871e+03,1.232960129897116452e+00,3.473498153342134901e+04,3.211035512610145020e+02
5.350000000000000000e+01,2.145313438513854635e+03,1.234484045334765412e+00,3.472915592108770943e+04,3.211223789646423370e+02
5.360000000000000142e+01,2.144305782729492421e+03,1.236007963113049613e+00,3.472354230086253665e+04,3.211411938759799796e+02
5.370000000000000284e+01,2.143297119333125011e+03,1.237531814022531762e+00,3.471814027791237459e+04,3.211599953017310440e+02
5.380000000000000426e+01,2.142287478479969650e+03,1.239055531917280017e+00,3.471295089520891634e+04,3.211787825804260592e+02
5.390000000000000568e+01,2.141276882218539413e+03,1.240579053714867763e+00,3.470797663352897507e+04,3.211975550824222410e+02
5.400000000000000000e+01,2.140265344490643201e+03,1.242102319396373389e+00,3.470322141145451315e+04,3.212163122099034922e+02
5.410000000000000142e+01,2.139252871131383927e+03,1.243625272006381177e+00,3.469869058537261299e+04,3.212350533968807440e+02
5.420000000000000284e+01,2.138239459869159873e+03,1.245147857652979750e+00,3.469439094947549165e+04,3.212537781091914439e+02
5.430000000000000426e+01,2.137225100325666062e+03,1.246670025507763624e+00,3.469033073576051538e+04,3.212724858444998972e+02
5.440000000000000568e+01,2.136209774015890616e+03,1.248191727805832318e+00,3.468651961403014866e+04,3.212911761322973234e+02
5.450000000000000000e+01,2.135193454348118848e+03,1.249712919845790360e+00,3.468296869189203426e+04,3.213098485339014587e+02
5.460000000000000142e+01,2.134176106623929627e+03,1.251233559989747723e+00,3.467969051475890592e+04,3.213285026424569537e+02
5.470000000000000284e+01,2.133157688038198557e+03,1.252753609663320056e+00,3.467669906584864657e+04,3.213471380829353166e+02
5.480000000000000426e+01,2.132138147679095709e+03,1.254273033355627343e+00,3.467400976618428831e+04,3.213657545121346857e+02
5.490000000000000568e+01,2.131117426528086071e+03,1.255791798619295241e+00,3.467163947459397605e+04,3.213843516186800002e+02
5.500000000000000000e+01,2.130095457459930458e+03,1.257309876070454857e+00,3.466960648771098931e+04,3.214029291230230001e+02
5.510000000000000142e+01,2.129072165242685514e+03,1.258827239388742081e+00,3.466793053997374227e+04,3.214214867774422260e+02
5.520000000000000284e+01,2.128047466537701439e+03,1.260343865317298473e+00,3.466663280362579098e+04,3.214400243660429624e+02
5.530000000000000426e+01,2.127021269899625167e+03,1.261859733662770600e+00,3.466573588871581160e+04,3.214585417047572946e+02
5.540000000000000568e+01,2.125993475776398100e+03,1.263374827295310254e+00,3.466526384309762943e+04,3.214770386413439383e+02
5.550000000000000000e+01,2.124964324339745872e+03,1.264888918940766382e+00,3.466519026642010431e+04,3.214955129962935985e+02
5.560000000000000142e+01,2.123934906363446771e+03,1.266401300902772142e+00,3.466535701282652008e+04,3.215139579719669882e+02
5.570000000000000284e+01,2.122905362169339242e+03,1.267911894942979290e+00,3.466574215500715218e+04,3.215323728722700594e+02
5.580000000000000426e+01,2.121875748297608880e+03,1.269420675493120987e+00,3.466633611002317775e+04,3.215507575103493423e+02
5.590000000000000568e+01,2.120846120002623138e+03,1.270927617407205501e+00,3.466712953289908910e+04,3.215691117032089323e+02
5.600000000000000000e+01,2.119816531252929963e+03,1.272432695961516425e+00,3.466811331662266457e+04,3.215874352717108309e+02
5.610000000000000142e+01,2.118787034731260064e+03,1.273935886854612454e+00,3.466927859214498312e+04,3.216057280405748884e+02
5.620000000000000284e+01,2.117757681834524647e+03,1.275437166207327833e+00,3.467061672838041704e+04,3.216239898383786340e+02
5.630000000000000426e+01,2.116728522673817679e+03,1.276936510562771687e+00,3.467211933220663923e+04,3.216422204975575596e+02
5.640000000000000568e+01,2.115699606074413168e+03,1.278433896886328691e+00,3.467377824846460135e+04,3.216604198544047790e+02
5.650000000000000000e+01,2.114670979575768797e+03,1.279929302565658178e+00,3.467558555995857751e+04,3.216785877490713688e+02
5.660000000000000142e+01,2.113642689431520921e+03,1.281422705410695473e+00,3.467753358745612059e+04,3.216967240255660272e+02
5.670000000000000284e+01,2.112614780609490481e+03,1.282914083653651005e+00,3.467961488968807680e+04,3.217148285317554723e+02
5.680000000000000426e+01,2.111587296791677545e+03,1.284403415949009863e+00,3.468182226334860752e+04,3.217329011193640440e+02
5.690000000000000568e+01,2.110560280374264948e+03,1.285890681373532907e+00,3.468414874309513834e+04,3.217509416439739311e+02
5.700000000000000000e+01,2.109533772467616927e+03,1.287375859426256319e+00,3.468658760154842457e+04,3.217689499650251150e+02
5.710000000000000142e+01,2.108507812896279120e+03,1.288858930028490946e+00,3.468913234929250029e+04,3.217869259458154829e+02
5.720000000000000284e+01,2.107482440198979020e+03,1.290339873523823844e+00,3.469177673487469292e+04,3.218048694535005438e+02
5.730000000000000426e+01,2.106457691628625071e+03,1.291818670678116066e+00,3.469451474480563047e+04,3.218227803590937697e+02
5.740000000000000568e+01,2.105433603152308024e+03,1.293295302679505099e+00,3.469734060355924157e+04,3.218406585374663678e+02
5.750000000000000000e+01,2.104410209451299579e+03,1.294769751138402647e+00,3.470024877357273363e+04,3.218585038673472809e+02
5.760000000000000142e+01,2.103387543921052838e+03,1.296241998087496627e+00,3.470323395524664375e+04,3.218763162313233011e+02
5.770000000000000284e+01,2.102365638671203669e+03,1.297712025981749617e+00,3.470629108694476599e+04,3.218940955158391262e+02
5.780000000000000426e+01,2.101344524525567522e+03,1.299179817698399297e+00,3.470941534499420959e+04,3.219118416111971328e+02
5.790000000000000568e+01,2.100324231022143522e+03,1.300645356536958896e+00,3.471260214368538436e+04,3.219295544115574330e+02
5.800000000000000000e+01,2.099304786413111287e+03,1.302108626219216969e+00,3.471584713527199347e+04,3.219472338149381017e+02
5.810000000000000142e+01,2.098286217664830929e+03,1.303569610889237396e+00,3.471914620997101883e+04,3.219648797232150059e+02
5.820000000000000284e+01,2.097268550457846686e+03,1.305028295113358716e+00,3.472249549596275756e+04,3.219824920421216348e+02
5.830000000000000426e+01,2.096251809186881928e+03,1.306484663880195018e+00,3.472589135939080734e+04,3.220000706812494400e+02
5.840000000000000568e+01,2.095236016960842790e+03,1.307938702600636161e+00,3.472933040436203737e+04,3.220176155540476088e+02
5.850000000000000000e+01,2.094221195602816806e+03,1.309390397107846216e+00,3.473280947294662474e+04,3.220351265778231777e+02
5.860000000000000142e+01,2.093207365650072461e+03,1.310839733657265693e+00,3.473632564517805440e+04,3.220526036737409754e+02
5.870000000000000284e+01,2.092194546354061458e+03,1.312286698926609319e+00,3.473987623905309738e+04,3.220700467668235660e+02
